iata,airport,city,state,country,lat,long,Flights
SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806,1630
JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889,2099
GPT,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,USA,30.40728028,-89.07009278,1352
GTR,Golden Triangle Regional,Columbus-Starkville-West Point,MS,USA,33.45033444,-88.59136861,164
MEI,Key ,Meridian,MS,USA,32.33313333,-88.75120556,105
TUP,Tupelo Municipal ,Tupelo,MS,USA,34.26810833,-88.769895,10
BZN,Gallatin ,Bozeman,MT,USA,45.77690139,-111.1530072,863
BIL,Billings Logan Intl,Billings,MT,USA,45.8076625,-108.5428611,694
MSO,Missoula International,Missoula,MT,USA,46.91630556,-114.0905556,549
FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.2550694,431
GTF,Great Falls Intl,Great Falls,MT,USA,47.48200194,-111.3706853,403
HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503,269
BTM,Bert Mooney,Butte,MT,USA,45.95479528,-112.49746,120
CLD,MC Clellan-Palomar Airport,,,USA,33.127231,-117.278727,425
MQT,Marquette County Airport,,,USA,46.353639,-87.395361,163
HHH,Hilton Head,,,USA,32.224384,-80.697629,152
SCE,University Park,,,USA,40.851206,-77.846302,120
CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,20299
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,9332
GSO,Piedmont Triad International,Greensboro,NC,USA,36.09774694,-79.9372975,2075
AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556,493
ILM,Wilmington International,Wilmington,NC,USA,34.27061111,-77.90255556,425
FAY,Fayetteville Municipal,Fayetteville,NC,USA,34.99147222,-78.88,335
OAJ,Albert J Ellis,Jacksonville,NC,USA,34.82916444,-77.61213778,165
EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444,135
FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889,785
BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.7467222,416
GFK,Grand Forks International,Grand Forks,ND,USA,47.949255,-97.17611111,232
MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339,180
OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,4123
LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925,499
MHT,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,3124
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,18371
ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667,61
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,6216
ROW,Roswell Industrial Air Center,Roswell,NM,USA,33.30155556,-104.5305556,120
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,27572
RNO,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,4214
EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964,290
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,16895
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,13530
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,3557
ROC,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,2370
ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,2314
SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056,1873
ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194,1762
HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444,1567
SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833,751
BGM,Binghamton Regional,Binghamton,NY,USA,42.20848278,-75.97961361,120
ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333,113
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,9120
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,5757
DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375,2273
CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556,1451
TOL,Toledo Express,Toledo,OH,USA,41.58680556,-83.80783333,289
OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,4151
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,3650
LAW,Lawton-Ft Sill Regional,Lawton,OK,USA,34.56771444,-98.41663667,344
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,8048
EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856,1062
MFR,Rogue Valley International,Medford,OR,USA,42.37422778,-122.8734978,940
RDM,Roberts ,Redmond,OR,USA,44.25406722,-121.1499633,579
SLE,McNary Fld,Salem,OR,USA,44.90952778,-123.0025,108
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,15189
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,7039
MDT,Harrisburg Intl,Harrisburg,PA,USA,40.19349528,-76.76340361,1287
ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167,791
AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675,404
ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556,163
PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,3818
CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583,2172
GSP,Greenville-Spartanburg,Greer,SC,USA,34.89566722,-82.21885833,1921
CAE,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944,1731
MYR,Myrtle Beach International,Myrtle Beach,SC,USA,33.67975,-78.92833333,730
FLO,Florence Regional,Florence,SC,USA,34.18536111,-79.72388889,109
FSD,Joe Foss ,Sioux Falls,SD,USA,43.58135111,-96.74170028,941
RAP,Rapid City Regional,Rapid City,SD,USA,44.04532139,-103.0573708,647
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,12350
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,9004
TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583,1820
CHA,Lovell ,Chattanooga,TN,USA,35.03526833,-85.20378778,723
TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056,333
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,32891
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,23013
HOU,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,9163
DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,9079
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,7140
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,6586
ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,3112
LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778,1413
AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272,1214
MAF,Midland International,Midland,TX,USA,31.94252778,-102.2019139,1149
HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389,763
GRK,Robert Gray AAF,Killeen,TX,USA,31.06489778,-97.82779778,698
CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528,693
ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722,464
MFE,McAllen Miller International,McAllen,TX,USA,26.17583333,-98.23861111,420
SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333,404
ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917,403
LRD,Laredo International,Laredo,TX,USA,27.54373861,-99.46154361,329
TYR,Tyler Pounds ,Tyler,TX,USA,32.35413889,-95.40238611,299
CLL,Easterwood ,College Station,TX,USA,30.58858944,-96.36382417,289
SJT,San Angelo Regional /Mathis ,San Angelo,TX,USA,31.35775,-100.4963056,241
BRO,Brownsville/S.Padre Island International,Brownsville,TX,USA,25.90683333,-97.42586111,212
GGG,Gregg County,Longview,TX,USA,32.38486111,-94.71171,180
BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,USA,29.95083333,-94.02069444,72
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,22528
SGU,St George Muni,St George,UT,USA,37.09058333,-113.5930556,598
CDC,Cedar City Muni,Cedar City,UT,USA,37.70097028,-113.098575,102
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,12644
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,12204
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,2942
ORF,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,2695
PHF,Newport News/Williamsburg International,Newport News,VA,USA,37.13189556,-76.4929875,952
ROA,Roanoke Regional/ Woodrum ,Roanoke,VA,USA,37.32546833,-79.97542833,508
CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,38.13863889,-78.45286111,143
LYH,Lynchburg Municipal-Preston Glenn ,Lynchburg,VA,USA,37.32668528,-79.20043056,106
BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125,965
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,12064
GEG,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425,2487
PSC,Tri-Cities,Pasco,WA,USA,46.26468028,-119.1190292,447
YKM,Yakima Air Terminal,Yakima,WA,USA,46.56816972,-120.5440594,74
BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.5375278,59
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333,5462
MSN,Dane County Regional,Madison,WI,USA,43.13985778,-89.33751361,2141
GRB,Austin Straubel International,Green Bay,WI,USA,44.48507333,-88.12959,1292
ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556,772
LSE,La Crosse Municipal,La Crosse,WI,USA,43.87937972,-91.25653778,306
CWA,Central Wisconsin,Mosinee,WI,USA,44.77761917,-89.66677944,214
RHI,Rhinelander-Oneida County,Rhinelander,WI,USA,45.63119306,-89.46745361,32
CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,499
CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.4644661,556
JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389,498
COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.0237961,180
