Name,Rating,Country,Category,Price,ABV,Age,Brand
Famous Grouse Blended Scotch Whisky,69,Scotland,Blended,20,40,,Famous Grouse
Johnnie Walker Black Label Scotch Whisky,70,Scotland,Blended,45,43,12,Johnnie Walker
Tullamore Dew Irish Whiskey,70,Ireland,Blended,26,40,,Tullamore
Canadian Club Sherry Cask Canadian Whisky,71,Canada,Blended,27,40,8,Canadian Club
Greenore 8 Year Old Single Grain Irish Whiskey,71,Ireland,Grain,50,43,8,Greenore
Ardmore Traditional Cask Highland Single Malt Scotch Whisky,72,Scotland,Speyside,48,46,30,Ardmore
Jameson 18 Year Old Limited Reserve Irish Whiskey,73,Ireland,Blended,84,40,18,Jameson
Connemara 12 Year Old Peated Single Malt Irish Whiskey,73,Ireland,Single Malt,90,40,12,Connemara
Bushmills 1608 Irish Whiskey Limited Edition,74,Ireland,Blended,90,46,,Bushmills
Michael Collins Single Malt Irish Whiskey,74,Ireland,Single Malt,40,40,10,Wiser's
Wiser's Legacy Canadian Whisky,74,Canada,Blended,50,45,,Wiser's
"Whyte & Mackay ""Old Luxury"" 19 Year Old Aged Blended Scotch Whisky",74,Scotland,Blended,58,40,19,Whyte & Mackay
Glen Breton Rare 10 Year Old Single Malt Canadian Whisky,75,Canada,Single Malt,85,43,10,Glen Breton
Wasmund's Copper Fox Rye Whisky,76,USA,Rye,46,45,1,Copper Fox
Baker's Kentucky Straight Bourbon Whiskey,76,USA,Bourbon,38,53,7,Jim Beam
Amrut Indian Single Malt Whisky,76,India,Single Malt,36,46,,Amrut
Amrut Peated Indian Single Malt Whisky,76,India,Single Malt,70,46,,Amrut
Early Times 354 Bourbon,76,USA,Bourbon,16,40,,Early Times
Johnnie Walker Green Label Scotch Whisky,76,Scotland,Blended,45,40,15,Johnnie Walker
"Glen Breton ""Battle of the Glen"" 15 Year Old Single Malt Canadian Whisky",77,Canada,Single Malt,,43,15,Glenora
Michael Collins Blended Irish Whiskey,77,Ireland,Blended,28,40,12,Michael Collins
Penderyn Single Malt Welsh Whisky,77,England,Single Malt,70,46,,Penderyn
Balvenie Madeira Cask 17 Year Old Single Malt Scotch Whisky,77,Scotland,Speyside,179,43,17,Balvenie
Wild Turkey Bourbon 101,77,USA,Bourbon,20,50,8,Wild Turkey
Sazerac 18 Year Old Kentucky Straight Rye Whiskey,78,USA,Rye,75,45,18,Sazerac
Grant's Family Reserve Blended Scotch Whisky,78,Scotland,Blended,17,40,,William Grant & Sons
Johnnie Walker Gold Label Blended Scotch Whisky,78,Scotland,Blended,73,40,18,Johnnie Walker
Connemara Cask Strength Peated Single Malt Irish Whiskey,78,Ireland,Single Malt,65,58,,Connemara
Bushmills Black Bush Irish Whiskey,79,Ireland,Blended,32,40,11,Bushmills
Hudson Manhattan Rye,79,USA,Rye,41,46,,Hudson
George Dickel Barrel Select Tennessee Whiskey,79,USA,Corn,26,43,12,George Dickel
Royal Canadian Small Batch Canadian Whisky,79,Canada,Blended,27,40,,Royal Canadian
Canadian Mist Black Diamond Canadian Whiskey,80,Canada,Rye,16,43,,Canadian Mist
Isle of Jura 16 Year Old Single Malt Scotch Whisky,80,Scotland,Islands,63,43,16,Isle of Jura
Evan Williams 1999 Vintage Bourbon Whiskey,80,USA,Bourbon,25,43,12,Evan Williams
Booker's True Barrel Bourbon,80,USA,Bourbon,60,62,7,Booker's
Amrut Peated Indian Single Malt Whiskey Cask Strength,80,India,Single Malt,85,62.8,,Amrut
Basil Hayden's 8 Year Old Bourbon Whiskey,80,USA,Bourbon,36,40,8,Basil Hayden
Four Roses Yellow Label Straight Bourbon,81,USA,Bourbon,20,40,,Four Roses
Hudson Single Malt Whiskey,81,USA,Single Malt,43,46,,Hudson
Balblair 1997 Highland Single Malt Scotch Whisky,81,Scotland,Highlands,58,43,,Balblair
Barton Irish Whiskey,81,Ireland,Blended,20,40,,Barton
Corsair Pumpkin Spice Moonshine,81,USA,Flavored,35,42.5,,Corsair
Kavalan Solist Ex-Bourbon Single Malt Whisky,81,Taiwan,Single Malt,100,58.2,,Kavalan
Mickey Finn Irish Whiskey,81,Ireland,Flavored,25,40,,Mickey Finn
P & M Blended Whisky,81,France,Blended,40,40,,P & M
P & M Single Malt Whisky,81,France,Single Malt,60,42,,P & M
Prince Edward Canadian Rye,81,Canada,Rye,55,41,,Price Edward
Jim Beam Red Stag Black Cherry Flavored Whiskey,81,USA,Flavored,18,40,4,Jim Beam
Seagram's 7 Crown Dark Honey Whiskey,81,USA,Flavored,17,35.5,7,Seagram's
Tullamore Dew 10 Year Old Single Malt Irish Whiskey,81,Ireland,Single Malt,69,40,10,Tullamore
Wolfhound Irish Whiskey,81,Ireland,Blended,25,40,,Wolfhound
Wild Turkey 81 Bourbon Whiskey,81,USA,Bourbon,17,41,8,Wild Turkey
The Irishman Single Malt Whiskey,81,Ireland,Single Malt,50,40,10,The Irishman
Collingwood Hand-Crafted Blended Canadian Whisky,81,Canada,Blended,28,40,,Collingwood
Old Forester Straight Bourbon 86 Proof,81,USA,Bourbon,19,43,4,Old Forester
Buffalo Trace White Dog Mash #1 Corn Whiskey,82,USA,Corn,16,62.5,,Buffalo Trace
Kavalan Concert Master Single Malt Whiskey,82,Taiwan,Single Malt,50,40,,Kavalan
Kavalan Single Malt Whiskey,82,Taiwan,Single Malt,70,40,,Kavalan
Old Parr Superior 18 Year Old Blended Scotch Whisky,82,Scotland,Blended,100,43,18,Old Parr
Charter 101 Kentucky Straight Bourbon Whiskey,82,USA,Bourbon,19,50,,Charter
George Dickel Tennessee Whisky #8,82,USA,Corn,17,40,,George Dickel
High West Rocky Mountain Rye 21 Year Old Whiskey,82,USA,Rye,133,53,21,High West
Glenrothes 1985 Single Malt Scotch Whisky,82,Scotland,Speyside,100,43,19,Glenrothes
1972 Ridgemont Reserve Kentucky Straight Bourbon Whiskey,83,USA,Bourbon,28,46,,Ridgemont Reserve
Tyrconnell Single Malt Irish Whiskey,83,Ireland,Single Malt,33,,,Tyrconnell
"Dalmore ""1263 King Alexander the Third"" Single Highland Malt Scotch",83,Scotland,Highlands,246,40,,Dalmore
Hudson Four Grain Bourbon,83,USA,Bourbon,42,46,,Hudson
Forty Creek Port Wood Reserve Whiskey,83,Canada,Blended,70,45,,Forty Creek
Maker's Mark Bourbon 46,83,USA,Bourbon,35,47,,Maker's Mark
Oban 14 Year Old Single Malt Scotch,83,Scotland,Highlands,65,43,14,Oban
"Laphroaig 10 Year Old ""Cast Strength"" Islay Single Malt Scotch Whisky",83,Scotland,Islay,60,43,10,Laphroaig
Powers Gold Label Irish Whiskey,84,Ireland,Blended,25,40,12,Powers
Laphroaig 10 Year Old Single Malt Scotch Whisky,84,Scotland,Islay,47,40,10,Laphroaig
Johnnie Walker Blue Label Scotch Whisky,84,Scotland,Blended,199,40,12,Johnnie Walker
Kilbeggan 15 Year Old Finest Irish Whiskey,84,Ireland,Blended,100,40,15,Kilbeggan
Tullamore Dew 12 Year Old Irish Special Reserve Whiskey,84,Ireland,Blended,43,40,12,Tullamore
Balvenie Portwood 21 Year Old Single Malt Scotch Whisky,84,Scotland,Speyside,160,43,21,Balvenie
High West Double Rye Whiskey,85,USA,Rye,34,46,,High West
Lagavulin 16 Scotch,85,Scotland,Islay,68,43,16,Lagavulin
Auchentoshan 18-Year Old Single Malt Scotch Whisky,85,Scotland,Lowlands,98,54.7,18,Auchentoshan
Amrut Fusion Single Malt Whisky,85,India,Single Malt,65,50,,Amrut
Black Maple Hill 23 Year Old Limited Edition Kentucky Straight Rye Whiskey,85,USA,Rye,100,47.5,23,Black Maple Hill
Bushmills 10 Year Old Single Malt Irish Whiskey,85,Ireland,Single Malt,39,40,10,Bushmills
Springbank 15 Year Old Campbeltown Single Malt Scotch Whisky,85,Scotland,Campbeltown,95,46,15,Springbank
Cedar Ridge Distillery Iowa Bourbon Whiskey,85,USA,Bourbon,36,40,,Cedar Ridge
Jameson Irish Whiskey Gold Reserve,86,Ireland,Blended,61,40,,Jameson
John L. Sullivan Irish Whiskey,86,Ireland,Blended,24,40,,John L. Sullivan
Tullamore Dew 10 Year Old Irish Reserve Whiskey,86,Ireland,Blended,,40,10,Tullamore
Caol Ila 12 Year Old Single Malt Scotch,86,Scotland,Islay,43,43,12,Caol Ila
Yamazaki Single Malt 12-Year Whisky,86,Japan,Single Malt,43,43,12,Yamazaki
Jim Beam Black Bourbon,86,USA,Bourbon,20,43,8,Jim Beam
Buffalo Trace Kentucky Straight Bourbon Whiskey,86,USA,Bourbon,24,45,,Buffalo Trace
Old Parr 12 Year Old Blended Scotch,86,Scotland,Blended,40,40,12,Old Parr
Balvenie 15 Year Old Single Barrel Single Malt Scotch,86,Scotland,Speyside,49,47.8,15,Balvenie
George Dickel Tennessee Whiskey #12,87,USA,Corn,20,45,,George Dickel
Jameson 12 Year Old Irish Whiskey,87,Ireland,Blended,50,40,12,Jameson
Elmer T Lee Bourbon Whiskey,87,USA,Bourbon,30,45,23,Elmer T Lee
Tyrconnell 10 Year Old Single Malt Sherry Cask Finish Irish Whiskey,87,Ireland,Single Malt,60,,10,Tyrconnell
Ledaig 10 Year Old Single Malt Scotch,87,Scotland,Highlands,50,43,10,Ledaig
Blanton's Single Barrel Bourbon,87,USA,Bourbon,49,47,,Blanton
Four Roses Single Barrel Kentucky Straight Bourbon,87,USA,Bourbon,53,50,10,Four Roses
Bowman Brothers Virginia Straight Bourbon Whiskey,87,USA,Bourbon,40,45,,Bowman
Russell's Reserve 6 Year Old Straight Rye Whiskey,88,USA,Rye,27,45,6,Russell's
Balcones True Blue Cask Strength Corn Whiskey,88,USA,Corn,59,63,,Balcones
Connemara Turf Mor Irish Whiskey,88,Ireland,Single Malt,75,58,,Connemara
Downslope Double Diamond Whiskey,88,USA,Blended,32,40,,Downslope
Forty Creek Double Barrel Canadian Whiskey,88,Canada,Blended,60,40,,Forty Creek
Greenore 15 Year Old Single Malt Irish Whiskey,88,Ireland,Single Malt,100,43,15,Greenore
Hudson New York Corn Whiskey,88,USA,Corn,35,40,,Hudson
Kansas Spirit Whiskey,88,USA,Unaged,30,40,0,Kansas Spirit
Kavalan Solist Fino Cast Strength Single Malt Whiskey,88,Taiwan,Single Malt,220,58.3,,Kavalan
Kavalan Solist Sherry Single Malt Whisky,88,Taiwan,Single Malt,117,58.7,,Kavalan
Leopold Bros. Maryland Style Rye Whiskey,88,USA,Rye,48,43,,Leopold Bros.
Original Moonshine Corn Whiskey,88,USA,Corn,40,40,,Stillhouse
OYO Soft Red Winter Wheat Whiskey Single Barrel,88,USA,Grain,45,46,,Middle West
Pescadores Pumpkin Whisky,88,Taiwan,Flavored,25,42,,Pescadores
Rogue Oregon Single Malt Whiskey,88,USA,Single Malt,48,40,,Rogue
Smooth Ambler Exceptional White Whisky,88,USA,Unaged,28,50,0,Smooth Ambler
Highland Park 12 Year Old Orkneys Single Malt Whisky,88,Scotland,Islands,40,40,12,Highland Park
Macallan 30 Year Old Fine Oak Speyside Single Malt Whisky,88,Scotland,Speyside,850,43,30,Macallan
Longrow CV Campbeltown Single Malt Whisky,88,Scotland,Campbeltown,61,46,,Longrow
Knob Creek 9 Year Old Single Barrel Reserve Bourbon Whiskey,88,USA,Bourbon,37,60,9,Knob creek
Breckenridge Bourbon Whiskey,88,USA,Bourbon,39,43,2,Breckenridge
Garrison Brothers Texas Straight Bourbon Whiskey,88,USA,Bourbon,75,47,,Garrison Brothers
Old Forester Signature Kentucky Straight Bourbon Whiskey,88,USA,Bourbon,21,50,,Old Forester
Balvenie Signature 12 Year Old Single Malt Scotch,88,Scotland,Speyside,53,43,12,Balvenie
Balvenie 17 Year Old Single Malt Scotch,88,Scotland,Speyside,128,43,17,Balvenie
Bulleit Bourbon Frontier Whiskey,88,USA,Bourbon,27,45,,Bulleit
Woodford Reserve Distiller's Select Bourbon,88,USA,Bourbon,34,45,,Woodford Reserve
Old Forester 12 Year Old Birthday Bourbon Whiskey,88,USA,Bourbon,50,47,12,Old Forester
Wild Turkey Bourbon Tradition 15 year,88,USA,Bourbon,125,50,15,Wild Turkey
Aberlour 16 Year Old Single Malt Scotch,89,Scotland,Speyside,65,43,16,Aberlour
The Singleton of Glendullan 12 Year Old Single Malt Scotch,89,Scotland,Speyside,35,40,12,Glendullan
"Whyte & Mackay ""Original"" 40 Year Old Aged Blended Scotch Whisky",89,Scotland,Blended,2,,40,Whyte & Mackay
Dalmore 1974 Single Highland Malt Scotch Whisky,89,Scotland,Highlands,250,42,,Dalmore
Chivas Regal 25 Year Old Scotch,89,Scotland,Blended,260,40,25,Chivas Regal
Jefferson's Select 18 Year Old Bourbon Whiskey,89,USA,Bourbon,90,47,18,Jefferson
Glenlivet XXV Single Malt Scotch Whisky,89,Scotland,Speyside,305,43,25,Glenlivet
Jameson Rarest Reserve Whiskey,90,Ireland,Blended,256,46,18,Jameson
Highland Park 25-Year-Old Orkney Islands Single Malt Whisky,90,Scotland,Islands,240,48.1,25,Highland Park
Buchanan's Red Seal Blended Scotch,90,Scotland,Blended,140,40,,Buchanan
Aberlour A'Bunadh Batch 21 Scotch,90,Scotland,Speyside,63,59.5,21,Aberlour
Glenfiddich 18 Year Old Single Malt Scotch,90,Scotland,Speyside,79,43,18,Glenfiddich
Macallan 15 Year Old Fine Oak Scotch,90,Scotland,Speyside,70,43,15,Macallan
Suntory Hakushu 12 Year Old Single Malt Whiskey,90,Japan,Single Malt,45,43,12,Suntory
Wild Turkey Rare Breed Bourbon,90,USA,Bourbon,37,54.1,,Wild Turkey
Glenlivet 18 Year Old Single Malt Scotch Whisky,90,Scotland,Speyside,70,43,18,Glenlivet
Glenfiddich 15 Year Old Single Malt Scotch,90,Scotland,Speyside,55,40,15,Glenfiddich
Jefferson's Presidential Select,90,USA,Bourbon,90,47,17,Jefferson
Speyburn 10 Year Old Single Malt Scotch,90,Scotland,Speyside,29,43,10,Speyburn
Bushmills 16 Year Old Single Malt Irish Whiskey,91,Ireland,Single Malt,64,40,16,Bushmills
Midleton Very Rare Irish Whiskey,91,Ireland,Blended,132,40,25,Midleton
Isle of Jura Prophecy Scotch,91,Scotland,Islands,75,46,,Isle of Jura
Glenrothes 1975 Single Malt Scotch,91,Scotland,Speyside,400,43,31,Glenrothes
Bushmills 21 Year Old Single Malt Irish Whiskey,91,Ireland,Single Malt,120,40,21,Bushmills
Amrut Indian Single Malt Whisky Cask Strength,91,India,Single Malt,50,61.8,,Amrut
Redbreast 15 Year Old Irish Whiskey,92,Ireland,Pure Pot Still,67,46,15,Redbreast
Old Pulteney 17 Year Old Single Malt Scotch,92,Scotland,Highlands,94,46,17,Old Pulteney
Forty Creek Confederation Oak Canadian Whiskey,92,Canada,Blended,70,40,,Forty Creek
Old Pulteney 12 Year Old Single Malt Scotch,92,Scotland,Highlands,40,40,12,Old Pulteney
Deanston 12 Year Old Single Malt Scotch,92,Scotland,Highlands,47,46.3,12,Deanston
Glenlivet 15 Year Old Single Malt Scotch,92,Scotland,Speyside,45,40,15,Glenlivet
Eagle Rare 17 Year Old Single Barrel Kentucky Straight Bourbon,92,USA,Bourbon,57,45,17,Eagle
Balblair Single Malt Scotch,92,Scotland,Highlands,109,43,17,Balblair
Laphroaig Quarter Cask Single Malt Scotch,92,Scotland,Islay,47,48,,Laphroaig
Michael Collins 10 Year Old Single Malt Irish Whiskey,93,Ireland,Single Malt,39,40,10,Michael Collins
Glenfiddich 21 Year Old Single Malt Scotch,93,Scotland,Speyside,133,40,21,Glenfiddich
Wild Turkey Russel's Reserve Bourbon,93,USA,Bourbon,35,45,10,Wild Turkey
Four Roses Small Batch Kentucky Straight Bourbon Whiskey,93,USA,Bourbon,32,45,,Four Roses
Tobermory 15 Year Old Single Malt Scotch,94,Scotland,Islands,108,46.3,15,Tobermory
Glenmorangie 18 Year Old Single Malt Scotch,94,Scotland,Highlands,107,43,18,Glenmorangie
Ancnoc 16 Year Old Single Malt Scotch,94,Scotland,Highlands,60,46,16,Ancnoc
Pappy Van Winkle 20 year old Family Reserve Kentucky Straight Bourbon Whiskey,94,USA,Bourbon,93,45.2,20,Pappy Van Winkle
Black Maple Hill 21 Cask 7 Bourbon,94,USA,Bourbon,95,40,21,Black Maple Hill
Abraham Bowman Rye Whiskey,94,USA,Rye,70,68.2,9,Abraham Bowman
Isle of Jura 21 Year Old Single Malt Scotch,94,Scotland,Islands,140,44,21,Isle of Jura
Royal Salute 21 Year Old Scotch,94,Scotland,Speyside,175,40,21,Royal Salute
Ardbeg Airigh Nam Beist Scotch,94,Scotland,Islay,115,46,16,Ardbeg
Aberfeldy 21 Year Old Single Malt Scotch,94,Scotland,Highlands,150,40,21,Aberfeldy
Talisker 1992 Single Malt Scotch,94,Scotland,Islands,68,45.82,12,Talisker
Highland Park 18 Scotch,94,Scotland,Islands,80,43,18,Highland Park
Bowmore 25 Year Old Scotch,94,Scotland,Islay,190,43,25,Bowmore
Bowmore 12 Year Old Single Malt Scotch,94,Scotland,Islay,45,43,12,Bowmore
Wild Turkey Kentucky Spirit Bourbon,94,USA,Bourbon,42,50.5,,Wild Turkey
Old Pulteney 21 Year Old Single Malt Scotch Whisky,95,Scotland,Highlands,120,46,21,Old Pulteney
Glen Grant 10 Year Old Single Malt Scotch,95,Scotland,Speyside,47,40,10,Glen Grant
Glenmorangie 12 Year Old Single Malt Scotch,95,Scotland,Highlands,55,46,12,Glenmorangie
Macallan 21 Year Old Fine Oak Scotch Whisky,96,Scotland,Speyside,220,43,21,Macallan
George T. Stagg Kentucky Straight Bourbon Whiskey,96,USA,Bourbon,70,45,,George T. Stagg
Parker's Heritage Collection 10 Year Old Wheated Bourbon,96,USA,Bourbon,80,63,10,Parker's Heritage
Rowan's Creek Bourbon,96,USA,Bourbon,50,50.05,12,Rowan's Creek
Woodford Reserve Master's Collection Bourbon,96,USA,Bourbon,80,46.2,,Woodford Reserve
Lagavulin 21 Scotch,96,Scotland,Islay,300,56.5,21,Lagavulin
Highland Park 30 Scotch,96,Scotland,Islands,365,48.1,30,Highland Park
King Car Single Malt Whisky,96,Taiwan,Single Malt,84,46,,Kavalan
Rye Dog Whiskey,96,USA,Rye,65,50,0,Delaware Phoenix
Thirteenth Colony Southern Corn Whiskey,96,USA,Corn,30,47.5,,Thirteen Colony
Glenfiddich 12 Year Old Single Malt Scotch,96,Scotland,Speyside,43,40,12,Glenfiddich
Oban 15 Year Old Single Malt Scotch,96,Scotland,Highlands,89,43,15,Oban
Old Pulteney 30 Year Old Single Malt Scotch,96,Scotland,Highlands,400,44,30,Old Pulteney
Tomatin 18 Year Old Single Malt Scotch,96,Scotland,Speyside,62,46,18,Tomatin
Glengoyne 17 Year Old Single Malt Scotch,96,Scotland,Highlands,73,43,17,Glengoyne
Aberfeldy 12 Year Old Single Malt Scotch,96,Scotland,Highlands,30,40,12,Aberfeldy
Buchanan's 18 Year Old Special Reserve Scotch,96,Scotland,Blended,79,43,18,Buchanan
Bunnahabhain 12 Year Old Single Malt Scotch,96,Scotland,Islay,43,46.3,12,Bunnahabhain
Buchanan's Master Blended Scotch,96,Scotland,Blended,54,40,,Buchanan
Lagavulin 12 Year Old Single Malt Scotch,96,Scotland,Islay,90,57.8,12,Lagavulin
Tomatin 15 Year Old Single Malt Scotch,96,Scotland,Speyside,48,43,15,Tomatin
Glenmorangie 25 Year Old Single Malt Scotch,96,Scotland,Highlands,580,43,25,Glenmorangie
Haig Supreme Blended Scotch,96,Scotland,Blended,25,40,,Haig
Kingdom 12 Year Old Scotch,96,Scotland,Blended,30,40,12,Kingdom
William Larue Weller Bourbon,96,USA,Bourbon,65,65,,William Larue Weller
Redbreast 12 Year Old Irish Whiskey,96,Ireland,Pure Pot Still,40,40,12,Redbreast
Glenlivet Nadurra 16 Year Old Cask Strength Single Malt Scotch Whisky,96,Scotland,Speyside,65,48,16,Glenlivet
Chivas Regal 18 Year Old Blended Scotch Whisky,96,Scotland,Blended,64,40,18,Chivas Regal
Hudson Baby Bourbon,96,USA,Bourbon,40,46,,Hudson
Glenlivet 21 Year Old Single Malt Scotch,97,Scotland,Speyside,123,40,21,Glenlivet
Powers 12 Year Old Irish Whiskey,99,Ireland,Blended,35,40,12,Powers
Suntory The Yamazaki 18 Year Old Single Malt Whiskey,99,Japan,Single Malt,120,43,18,Suntory
Glenmorangie 10 Year Old Single Malt Scotch Whisky,99,Scotland,Highlands,42,40,10,Glenmorangie
Glenmorangie Single Malt Scotch,99,Scotland,Highlands,80,46,10,Glenmorangie
Bunnahabhain 18 Year Old Single Malt Scotch,99,Scotland,Islay,92,46.3,18,Bunnahabhain
Laphroaig 18 Year Old Single Malt Scotch,99,Scotland,Islay,107,48,18,Laphroaig
Cardhu 12 Year Old Single Malt Scotch,99,Scotland,Highlands,45,40,12,Cardhu
Aberlour 18 Year Old Single Malt Scotch,99,Scotland,Speyside,100,43,18,Aberlour
Balvenie 14 Year Old Single Malt Scotch,99,Scotland,Speyside,60,43,14,Balvenie
Caol Ila Single Malt Scotch Distillers Edition,99,Scotland,Islay,70,43,,Caol Ila
Kingdom 17 Year Old Scotch,99,Scotland,Blended,50,40,17,Kingdom
Balvenie 12 Year Old Doublewood Single Malt Scotch,99,Scotland,Speyside,45,40,12,Balvenie
Glen Garioch Founders Reserve Scotch,99,Scotland,Highlands,45,48,,Glen Garioch
Bowmore 15 Year Old Single Malt Scotch,99,Scotland,Islay,70,43,15,Bowmore
Rebel Yell Kentucky Straight Bourbon Whiskey,99,USA,Bourbon,11,40,,Rebel Yell
Pappy Van Winkle 15 Year Old Family Reserve Whiskey,99,USA,Bourbon,58,53.5,15,Pappy Van Winkle
Thomas H. Handy Kentucky Straight Rye Whiskey,99,USA,Rye,67,66.4,6,Thomas H. Handy
Ardbeg Uigeadail,99,Scotland,Islay,80,54.2,,Ardbeg
Noah's Mill Bourbon,99,USA,Bourbon,60,57.15,,Noah's Mill
Parker's Heritage Bourbon,99,USA,Bourbon,80,62,15,Parker's Heritage
Tyrconnell 10 Year Old Single Malt Madeira Cask Finish Irish Whiskey,100,Ireland,Single Malt,72,46,10,Tyrconnell
Dalmore 18 Year Old Single Highland Malt Scotch Whisky,100,Scotland,Highlands,165,43,18,Dalmore
Suntory Whiskey Hibiki,,Japan,Blended,92,43,12,Suntory
McAdams Canadian Whisky,,Canada,Blended,8,,,McAdams
Texas Crown Club Canadian Whisky,,Canada,Blended,22,,4,Texas Crown
Bunnahabhain 25,,Scotland,Islay,292,46.3,25,Bunnahabhain
Glenlivet 18 Year Old Single Malt Scotch,,Scotland,Speyside,69,57,18,Glenlivet
Bell's Scotch Whisky,,Scotland,Blended,,43,,Bell's
Glengoyne 10 Year Old Single Malt Scotch,,Scotland,Highlands,,,10,Glengoyne
The Tweeddale Blend,,Scotland,Blended,30,46,12,Tweeddale
A.H. Hirsch Finest Reserve 20 Bourbon,,USA,Bourbon,280,45,16,A.H. Hirsch
Elijah Craig 18 Year Bourbon,,USA,Bourbon,40,45,18,Elijah Craig
Kavalan Solist Vinho Single Malt Whisky,,Taiwan,Single Malt,100,59.2,,Kavalan


        Public Domain Data from the Many Eyes public data sets
