mpg,cylinders,engine,horsepower,weight,acceleration,year,origin,name
16,8,400,230,4278,9.5,73,American,pontiac grand prix
15,8,318,150,3399,11,73,American,dodge dart custom
11,8,350,180,3664,11,73,American,oldsmobile omega
20,6,198,95,3102,16.5,74,American,plymouth duster
21,6,200,nan,2875,17,74,American,ford maverick
19,6,232,100,2901,16,74,American,amc hornet
15,6,250,100,3336,17,74,American,chevrolet nova
26,4,122,80,2451,16.5,74,American,ford pinto
25,4,140,75,2542,17,74,American,chevrolet vega
16,6,250,100,3781,17,74,American,chevrolet chevelle malibu classic
16,6,258,110,3632,18,74,American,amc matador
18,6,225,105,3613,16.5,74,American,plymouth satellite sebring
16,8,302,140,4141,14,74,American,ford gran torino
13,8,350,150,4699,14.5,74,American,buick century luxus (sw)
14,8,318,150,4457,13.5,74,American,dodge coronet custom (sw)
14,8,302,140,4638,16,74,American,ford gran torino (sw)
14,8,304,150,4257,15.5,74,American,amc matador (sw)
28,4,90,75,2125,14.5,74,American,dodge colt
19,6,225,95,3264,16,75,American,plymouth valiant custom
18,6,250,105,3459,16,75,American,chevrolet nova
15,6,250,72,3432,21,75,American,mercury monarch
15,6,250,72,3158,19.5,75,American,ford maverick
16,8,400,170,4668,11.5,75,American,pontiac catalina
15,8,350,145,4440,14,75,American,chevrolet bel air
16,8,318,150,4498,14.5,75,American,plymouth grand fury
14,8,351,148,4657,13.5,75,American,ford ltd
17,6,231,110,3907,21,75,American,buick century
16,6,250,105,3897,18.5,75,American,chevroelt chevelle malibu
15,6,258,110,3730,19,75,American,amc matador
18,6,225,95,3785,19,75,American,plymouth fury
21,6,231,110,3039,15,75,American,buick skyhawk
20,8,262,110,3221,13.5,75,American,chevrolet monza 2+2
13,8,302,129,3169,12,75,American,ford mustang ii
23,4,140,83,2639,17,75,American,ford pinto
20,6,232,100,2914,16,75,American,amc gremlin
23,4,140,78,2592,18.5,75,American,pontiac astro
18,6,171,97,2984,14.5,75,American,ford pinto
19,6,232,90,3211,17,75,American,amc pacer
25,4,140,92,2572,14.9,76,American,capri ii
26,4,98,79,2255,17.7,76,American,dodge colt
17.5,8,305,140,4215,13,76,American,chevrolet chevelle malibu classic
16,8,318,150,4190,13,76,American,dodge coronet brougham
15.5,8,304,120,3962,13.9,76,American,amc matador
14.5,8,351,152,4215,12.8,76,American,ford gran torino
22,6,225,100,3233,15.4,76,American,plymouth valiant
22,6,250,105,3353,14.5,76,American,chevrolet nova
24,6,200,81,3012,17.6,76,American,ford maverick
22.5,6,232,90,3085,17.6,76,American,amc hornet
29,4,85,52,2035,22.2,76,American,chevrolet chevette
24.5,4,98,60,2164,22.1,76,American,chevrolet woody
20,6,225,100,3651,17.7,76,American,dodge aspen se
18,6,250,78,3574,21,76,American,ford granada ghia
18.5,6,250,110,3645,16.2,76,American,pontiac ventura sj
17.5,6,258,95,3193,17.8,76,American,amc pacer d/l
26.5,4,140,72,2565,13.6,76,American,ford pinto
13,8,318,150,3940,13.2,76,American,plymouth volare premier v8
16.5,8,350,180,4380,12.1,76,American,cadillac seville
13,8,350,145,4055,12,76,American,chevy c10
13,8,302,130,3870,15,76,American,ford f108
13,8,318,150,3755,14,76,American,dodge d100
30,4,111,80,2155,14.8,77,American,buick opel isuzu deluxe
25.5,4,122,96,2300,15.5,77,American,plymouth arrow gs
17.5,8,305,145,3880,12.5,77,American,chevrolet caprice classic
17,8,260,110,4060,19,77,American,oldsmobile cutlass supreme
15.5,8,318,145,4140,13.7,77,American,dodge monaco brougham
15,8,302,130,4295,14.9,77,American,mercury cougar brougham
17.5,6,250,110,3520,16.4,77,American,chevrolet concours
20.5,6,231,105,3425,16.9,77,American,buick skylark
19,6,225,100,3630,17.7,77,American,plymouth volare custom
18.5,6,250,98,3525,19,77,American,ford granada
16,8,400,180,4220,11.1,77,American,pontiac grand prix lj
15.5,8,350,170,4165,11.4,77,American,chevrolet monte carlo landau
15.5,8,400,190,4325,12.2,77,American,chrysler cordoba
16,8,351,149,4335,14.5,77,American,ford thunderbird
24.5,4,151,88,2740,16,77,American,pontiac sunbird coupe
25.5,4,140,89,2755,15.8,77,American,ford mustang ii 2+2
30.5,4,98,63,2051,17,77,American,chevrolet chevette
33.5,4,98,83,2075,15.9,77,American,dodge colt m/m
36.1,4,98,66,1800,14.4,78,American,ford fiesta
19.9,8,260,110,3365,15.5,78,American,oldsmobile cutlass salon brougham
19.4,8,318,140,3735,13.2,78,American,dodge diplomat
20.2,8,302,139,3570,12.8,78,American,mercury monarch ghia
19.2,6,231,105,3535,19.2,78,American,pontiac phoenix lj
20.5,6,200,95,3155,18.2,78,American,chevrolet malibu
20.2,6,200,85,2965,15.8,78,American,ford fairmont (auto)
25.1,4,140,88,2720,15.4,78,American,ford fairmont (man)
20.5,6,225,100,3430,17.2,78,American,plymouth volare
19.4,6,232,90,3210,17.2,78,American,amc concord
20.6,6,231,105,3380,15.8,78,American,buick century special
20.8,6,200,85,3070,16.7,78,American,mercury zephyr
18.6,6,225,110,3620,18.7,78,American,dodge aspen
18.1,6,258,120,3410,15.1,78,American,amc concord d/l
19.2,8,305,145,3425,13.2,78,American,chevrolet monte carlo landau
17.7,6,231,165,3445,13.4,78,American,buick regal sport coupe (turbo)
18.1,8,302,139,3205,11.2,78,American,ford futura
17.5,8,318,140,4080,13.7,78,American,dodge magnum xe
30,4,98,68,2155,16.5,78,American,chevrolet chevette
30.9,4,105,75,2230,14.5,78,American,dodge omni
23.2,4,156,105,2745,16.7,78,American,plymouth sapporo
23.8,4,151,85,2855,17.6,78,American,oldsmobile starfire sx
21.5,6,231,115,3245,15.4,79,American,pontiac lemans v6
19.8,6,200,85,2990,18.2,79,American,mercury zephyr 6
22.3,4,140,88,2890,17.3,79,American,ford fairmont 4
20.2,6,232,90,3265,18.2,79,American,amc concord dl 6
20.6,6,225,110,3360,16.6,79,American,dodge aspen 6
17,8,305,130,3840,15.4,79,American,chevrolet caprice classic
17.6,8,302,129,3725,13.4,79,American,ford ltd landau
16.5,8,351,138,3955,13.2,79,American,mercury grand marquis
18.2,8,318,135,3830,15.2,79,American,dodge st. regis
16.9,8,350,155,4360,14.9,79,American,buick estate wagon (sw)
15.5,8,351,142,4054,14.3,79,American,ford country squire (sw)
19.2,8,267,125,3605,15,79,American,chevrolet malibu classic (sw)
18.5,8,360,150,3940,13,79,American,chrysler lebaron town @ country (sw)
35.7,4,98,80,1915,14.4,79,American,dodge colt hatchback custom
27.4,4,121,80,2670,15,79,American,amc spirit dl
23,8,350,125,3900,17.4,79,American,cadillac eldorado
23.9,8,260,90,3420,22.2,79,American,oldsmobile cutlass salon brougham
34.2,4,105,70,2200,13.2,79,American,plymouth horizon
34.5,4,105,70,2150,14.9,79,American,plymouth horizon tc3
28.4,4,151,90,2670,16,79,American,buick skylark limited
28.8,6,173,115,2595,11.3,79,American,chevrolet citation
26.8,6,173,115,2700,12.9,79,American,oldsmobile omega brougham
33.5,4,151,90,2556,13.2,79,American,pontiac phoenix
32.1,4,98,70,2120,15.5,80,American,chevrolet chevette
28,4,151,90,2678,16.5,80,American,chevrolet citation
26.4,4,140,88,2870,18.1,80,American,ford fairmont
24.3,4,151,90,3003,20.1,80,American,amc concord
19.1,6,225,90,3381,18.7,80,American,dodge aspen
27.9,4,156,105,2800,14.4,80,American,dodge colt
23.6,4,140,nan,2905,14.3,80,American,ford mustang cobra
27.2,4,135,84,2490,15.7,81,American,plymouth reliant
26.6,4,151,84,2635,16.4,81,American,buick skylark
25.8,4,156,92,2620,14.4,81,American,dodge aries wagon (sw)
23.5,6,173,110,2725,12.6,81,American,chevrolet citation
30,4,135,84,2385,12.9,81,American,plymouth reliant
39,4,86,64,1875,16.4,81,American,plymouth champ
34.7,4,105,63,2215,14.9,81,American,plymouth horizon 4
34.4,4,98,65,2045,16.2,81,American,ford escort 4w
29.9,4,98,65,2380,20.7,81,American,ford escort 2h
22.4,6,231,110,3415,15.8,81,American,buick century
26.6,8,350,105,3725,19,81,American,oldsmobile cutlass ls
20.2,6,200,88,3060,17.1,81,American,ford granada gl
17.6,6,225,85,3465,16.6,81,American,chrysler lebaron salon
28,4,112,88,2605,19.6,82,American,chevrolet cavalier
27,4,112,88,2640,18.6,82,American,chevrolet cavalier wagon
34,4,112,88,2395,18,82,American,chevrolet cavalier 2-door
31,4,112,85,2575,16.2,82,American,pontiac j2000 se hatchback
29,4,135,84,2525,16,82,American,dodge aries se
27,4,151,90,2735,18,82,American,pontiac phoenix
24,4,140,92,2865,16.4,82,American,ford fairmont futura
23,4,151,nan,3035,20.5,82,American,amc concord dl
38,4,105,63,2125,14.7,82,American,plymouth horizon miser
36,4,98,70,2125,17.3,82,American,mercury lynx l
25,6,181,110,2945,16.4,82,American,buick century limited
38,6,262,85,3015,17,82,American,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,14.5,82,American,chrysler lebaron medallion
22,6,232,112,2835,14.7,82,American,ford granada l
36,4,135,84,2370,13,82,American,dodge charger 2.2
27,4,151,90,2950,17.3,82,American,chevrolet camaro
27,4,140,86,2790,15.6,82,American,ford mustang gl
32,4,135,84,2295,11.6,82,American,dodge rampage
28,4,120,79,2625,18.6,82,American,ford ranger
31,4,119,82,2720,19.4,82,American,chevy s-10
nan,4,133,115,3090,17.5,70,European,citroen ds-21 pallas
26,4,97,46,1835,20.5,70,European,volkswagen 1131 deluxe sedan
25,4,110,87,2672,17.5,70,European,peugeot 504
24,4,107,90,2430,14.5,70,European,audi 100 ls
25,4,104,95,2375,17.5,70,European,saab 99e
26,4,121,113,2234,12.5,70,European,bmw 2002
nan,4,97,48,1978,20,71,European,volkswagen super beetle 117
28,4,116,90,2123,14,71,European,opel 1900
30,4,79,70,2074,19.5,71,European,peugeot 304
30,4,88,76,2065,14.5,71,European,fiat 124b
27,4,97,60,1834,19,71,European,volkswagen model 111
23,4,97,54,2254,23.5,72,European,volkswagen type 3
18,4,121,112,2933,14.5,72,European,volvo 145e (sw)
22,4,121,76,2511,18,72,European,volkswagen 411 (sw)
21,4,120,87,2979,19.5,72,European,peugeot 504 (sw)
26,4,96,69,2189,18,72,European,renault 12 (sw)
26,4,97,46,1950,21,73,European,volkswagen super beetle
26,4,98,90,2265,15.5,73,European,fiat 124 sport coupe
29,4,68,49,1867,19.5,73,European,fiat 128
24,4,116,75,2158,15.5,73,European,opel manta
20,4,114,91,2582,14,73,European,audi 100ls
19,4,121,112,2868,15.5,73,European,volvo 144ea
24,4,121,110,2660,14,73,European,saab 99le
29,4,98,83,2219,16.5,74,European,audi fox
26,4,79,67,1963,15.5,74,European,volkswagen dasher
26,4,97,78,2300,14.5,74,European,opel manta
24,4,90,75,2108,15.5,74,European,fiat 128
26,4,116,75,2246,14,74,European,fiat 124 tc
31,4,79,67,2000,16,74,European,fiat x1.9
25,4,90,71,2223,16.5,75,European,volkswagen dasher
29,4,90,70,1937,14,75,European,volkswagen rabbit
23,4,115,95,2694,15,75,European,audi 100ls
23,4,120,88,2957,17,75,European,peugeot 504
22,4,121,98,2945,14.5,75,European,volvo 244dl
25,4,121,115,2671,13.5,75,European,saab 99le
28,4,107,86,2464,15.5,76,European,fiat 131
25,4,116,81,2220,16.9,76,European,opel 1900
27,4,101,83,2202,15.3,76,European,renault 12tl
29,4,90,70,1937,14.2,76,European,vw rabbit
29.5,4,97,71,1825,12.2,76,European,volkswagen rabbit
20,4,130,102,3150,15.7,76,European,volvo 245
19,4,120,88,3270,21.9,76,European,peugeot 504
16.5,6,168,120,3820,16.7,76,European,mercedes-benz 280s
36,4,79,58,1825,18.6,77,European,renault 5 gtl
29,4,97,78,1940,14.5,77,European,volkswagen rabbit custom
30.5,4,97,78,2190,14.1,77,European,volkswagen dasher
21.5,4,121,110,2600,12.8,77,European,bmw 320i
43.1,4,90,48,1985,21.5,78,European,volkswagen rabbit custom diesel
20.3,5,131,103,2830,15.9,78,European,audi 5000
17,6,163,125,3140,13.6,78,European,volvo 264gl
21.6,4,121,115,2795,15.7,78,European,saab 99gle
16.2,6,163,133,3410,15.8,78,European,peugeot 604sl
31.5,4,89,71,1990,14.9,78,European,volkswagen scirocco
31.9,4,89,71,1925,14,79,European,vw rabbit custom
25.4,5,183,77,3530,20.1,79,European,mercedes benz 300d
27.2,4,141,71,3190,24.8,79,European,peugeot 504
37.3,4,91,69,2130,14.7,79,European,fiat strada custom
41.5,4,98,76,2144,14.7,80,European,vw rabbit
34.3,4,97,78,2188,15.8,80,European,audi 4000
44.3,4,90,48,2085,21.7,80,European,vw rabbit c (diesel)
43.4,4,90,48,2335,23.7,80,European,vw dasher (diesel)
36.4,5,121,67,2950,19.9,80,European,audi 5000s (diesel)
30,4,146,67,3250,21.8,80,European,mercedes-benz 240d
40.9,4,85,nan,1835,17.3,80,European,renault lecar deluxe
29.8,4,89,62,1845,15.3,80,European,vokswagen rabbit
35,4,122,88,2500,15.1,80,European,triumph tr7 coupe
33,4,105,74,2190,14.2,81,European,volkswagen jetta
34.5,4,100,nan,2320,15.8,81,European,renault 18i
28.1,4,141,80,3230,20.4,81,European,peugeot 505s turbo diesel
nan,4,121,110,2800,15.4,81,European,saab 900s
30.7,6,145,76,3160,19.6,81,European,volvo diesel
36,4,105,74,1980,15.3,82,European,volkswagen rabbit l
44,4,97,52,2130,24.6,82,European,vw pickup
24,4,113,95,2372,15,70,Japanese,toyota corona mark ii
27,4,97,88,2130,14.5,70,Japanese,datsun pl510
27,4,97,88,2130,14.5,71,Japanese,datsun pl510
25,4,113,95,2228,14,71,Japanese,toyota corona
31,4,71,65,1773,19,71,Japanese,toyota corolla 1200
35,4,72,69,1613,18,71,Japanese,datsun 1200
24,4,113,95,2278,15.5,72,Japanese,toyota corona hardtop
19,3,70,97,2330,13.5,72,Japanese,mazda rx2 coupe
28,4,97,92,2288,17,72,Japanese,datsun 510 (sw)
23,4,120,97,2506,14.5,72,Japanese,toyouta corona mark ii (sw)
27,4,97,88,2100,16.5,72,Japanese,toyota corolla 1600 (sw)
20,4,97,88,2279,19,73,Japanese,toyota carina
22,4,108,94,2379,16.5,73,Japanese,datsun 610
18,3,70,90,2124,13.5,73,Japanese,maxda rx3
20,6,156,122,2807,13.5,73,Japanese,toyota mark ii
31,4,79,67,1950,19,74,Japanese,datsun b210
32,4,71,65,1836,21,74,Japanese,toyota corolla 1200
31,4,76,52,1649,16.5,74,Japanese,toyota corona
32,4,83,61,2003,19,74,Japanese,datsun 710
24,4,120,97,2489,15,74,Japanese,honda civic
26,4,108,93,2391,15.5,74,Japanese,subaru
29,4,97,75,2171,16,75,Japanese,toyota corolla
24,4,134,96,2702,13.5,75,Japanese,toyota corona
24,4,119,97,2545,17,75,Japanese,datsun 710
33,4,91,53,1795,17.5,75,Japanese,honda civic cvcc
33,4,91,53,1795,17.4,76,Japanese,honda civic
32,4,85,70,1990,17,76,Japanese,datsun b-210
28,4,97,75,2155,16.4,76,Japanese,toyota corolla
19,6,156,108,2930,15.5,76,Japanese,toyota mark ii
31.5,4,98,68,2045,18.5,77,Japanese,honda accord cvcc
33.5,4,85,70,1945,16.8,77,Japanese,datsun f-10 hatchback
26,4,97,75,2265,18.2,77,Japanese,toyota corolla liftback
30,4,97,67,1985,16.4,77,Japanese,subaru dl
22,6,146,97,2815,14.5,77,Japanese,datsun 810
21.5,3,80,110,2720,13.5,77,Japanese,mazda rx-4
32.8,4,78,52,1985,19.4,78,Japanese,mazda glc deluxe
39.4,4,85,70,2070,18.6,78,Japanese,datsun b210 gx
36.1,4,91,60,1800,16.4,78,Japanese,honda civic cvcc
27.5,4,134,95,2560,14.2,78,Japanese,toyota corona
27.2,4,119,97,2300,14.7,78,Japanese,datsun 510
21.1,4,134,95,2515,14.8,78,Japanese,toyota celica gt liftback
23.9,4,119,97,2405,14.9,78,Japanese,datsun 200-sx
29.5,4,98,68,2135,16.6,78,Japanese,honda accord lx
34.1,4,86,65,1975,15.2,79,Japanese,maxda glc deluxe
31.8,4,85,65,2020,19.2,79,Japanese,datsun 210
38.1,4,89,60,1968,18.8,80,Japanese,toyota corolla tercel
37.2,4,86,65,2019,16.4,80,Japanese,datsun 310
29.8,4,134,90,2711,15.5,80,Japanese,toyota corona liftback
31.3,4,120,75,2542,17.5,80,Japanese,mazda 626
37,4,119,92,2434,15,80,Japanese,datsun 510 hatchback
32.2,4,108,75,2265,15.2,80,Japanese,toyota corolla
46.6,4,86,65,2110,17.9,80,Japanese,mazda glc
40.8,4,85,65,2110,19.2,80,Japanese,datsun 210
44.6,4,91,67,1850,13.8,80,Japanese,honda civic 1500 gl
33.8,4,97,67,2145,18,80,Japanese,subaru dl
32.7,6,168,132,2910,11.4,80,Japanese,datsun 280-zx
23.7,3,70,100,2420,12.5,80,Japanese,mazda rx-7 gs
32.4,4,107,72,2290,17,80,Japanese,honda accord
39.1,4,79,58,1755,16.9,81,Japanese,toyota starlet
35.1,4,81,60,1760,16.1,81,Japanese,honda civic 1300
32.3,4,97,67,2065,17.8,81,Japanese,subaru
37,4,85,65,1975,19.4,81,Japanese,datsun 210 mpg
37.7,4,89,62,2050,17.3,81,Japanese,toyota tercel
34.1,4,91,68,1985,16,81,Japanese,mazda glc 4
33.7,4,107,75,2210,14.4,81,Japanese,honda prelude
32.4,4,108,75,2350,16.8,81,Japanese,toyota corolla
32.9,4,119,100,2615,14.8,81,Japanese,datsun 200sx
31.6,4,120,74,2635,18.3,81,Japanese,mazda 626
25.4,6,168,116,2900,12.6,81,Japanese,toyota cressida
24.2,6,146,120,2930,13.8,81,Japanese,datsun 810 maxima
37,4,91,68,2025,18.2,82,Japanese,mazda glc custom l
31,4,91,68,1970,17.6,82,Japanese,mazda glc custom
36,4,120,88,2160,14.5,82,Japanese,nissan stanza xe
36,4,107,75,2205,14.5,82,Japanese,honda accord
34,4,108,70,2245,16.9,82,Japanese,toyota corolla
38,4,91,67,1965,15,82,Japanese,honda civic
32,4,91,67,1965,15.7,82,Japanese,honda civic (auto)
38,4,91,67,1995,16.2,82,Japanese,datsun 310 gx
32,4,144,96,2665,13.9,82,Japanese,toyota celica gt
