Title,US Gross,Worldwide Gross,Budget,Release,MPAA Rating,Running Time,Distributor,Source,Genre,Type,Director,Rotten Tomatoes,IMDB Rating,IMDB Votes,Cluster
Indiana Jones and the Last Crusade,197171806,474171806,48000000,5/24/89,,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,89,8.3,171572,#2
Dead Poets' Society,95860116,239500000,16400000,6/2/89,,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86,7.8,89662,#3
Batman,251188924,411348924,35000000,6/23/89,PG-13,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464,#4
Back to the Future Part II,118450002,332000000,40000000,11/22/89,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64,7.5,87341,#3
The Hunt for Red October,120709866,200500000,30000000,3/2/90,,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John McTiernan,95,7.6,55202,#3
Pretty Woman,178406268,463400000,14000000,3/23/90,,,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,62,6.7,60742,#3
Teenage Mutant Ninja Turtles,135265915,202000000,13500000,3/30/90,,,New Line,Based on TV,Adventure,Fantasy,Steve Barron,,6.4,25867,#3
Back to the Future Part III,87666629,243700000,40000000,5/24/90,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71,7.1,77541,#3
Total Recall,119394839,261400000,65000000,6/1/90,,,Sony Pictures,Based on Book/Short Story,Action,Science Fiction,Paul Verhoeven,81,7.4,70355,#3
Die Hard 2,117323878,239814025,70000000,7/3/90,,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Renny Harlin,,7,79636,#3
Ghost,217631306,517600000,22000000,7/13/90,,,Paramount Pictures,Original Screenplay,Drama,Fantasy,Jerry Zucker,81,6.9,51125,#3
Dances with Wolves,184208842,424200000,19000000,11/9/90,,,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76,8,71399,#3
Home Alone,285761243,476684675,15000000,11/16/90,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,47,7,79080,#2
Kindergarten Cop,91457688,202000000,26000000,12/21/90,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50,5.8,40433,#5
The Silence of the Lambs,130726716,275726716,20000000,2/14/91,,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96,8.7,244856,#3
Robin Hood: Prince of Thieves,165493908,390500000,50000000,6/14/91,PG-13,,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Kevin Reynolds,56,6.7,54480,#4
Terminator 2: Judgment Day,204859496,516816151,100000000,7/2/91,R,,Sony Pictures,Original Screenplay,Action,Science Fiction,James Cameron,98,8.5,237477,#4
Beauty and the Beast,171340294,403476931,20000000,11/13/91,G,,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93,3.4,354,#2
Cape Fear,79091969,182291969,35000000,11/15/91,R,,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196,#3
The Addams Family,113502246,191502246,30000000,11/22/91,,,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59,6.6,28907,#3
Hook,119654823,300854823,70000000,12/11/91,,,Sony Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Steven Spielberg,24,6.2,60159,#2
JFK,70405498,205400000,40000000,12/20/91,R,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,83,8,59684,#3
Wayne's World,121697323,183097323,20000000,2/14/92,PG-13,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Penelope Spheeris,84,6.9,42570,#3
Lethal Weapon 3,144731527,319700000,35000000,5/15/92,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,56,6.5,39735,#3
Patriot Games,83287363,178100000,45000000,6/5/92,,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,75,6.9,29544,#3
Batman Returns,162831698,266822354,80000000,6/18/92,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673,#4
Aladdin,217350219,504050219,28000000,11/11/92,G,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,,,7.8,69090,#2
Dracula,82522790,215862692,40000000,11/13/92,R,,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,,6.4,136,#5
Home Alone 2: Lost in New York,173585516,358994850,20000000,11/20/92,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,21,5.8,51408,#2
A Few Good Men,141340178,236500000,33000000,12/11/92,,,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Rob Reiner,83,7.6,63541,#3
Cliffhanger,84049211,255000000,65000000,5/28/93,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82,6.2,34447,#5
Jurassic Park,357067947,923067947,63000000,6/10/93,PG-13,,Universal,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,87,7.9,151365,#4
The Firm,158340892,270340892,42000000,6/30/93,R,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Sydney Pollack,76,5.5,957,#3
The Fugitive,183875760,368900000,44000000,8/6/93,PG-13,,Warner Bros.,Based on TV,Thriller/Suspense,Contemporary Fiction,Andrew Davis,94,7.8,96914,#3
Mrs. Doubtfire,219195051,441286003,25000000,11/24/93,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,Chris Columbus,64,6.6,56917,#2
Schindler's List,96067179,321200000,25000000,12/15/93,R,,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97,8.9,276283,#3
Philadelphia,77324422,201324422,26000000,12/22/93,,,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,74,7.6,53283,#3
Four Weddings and a Funeral,52700832,242895809,4500000,3/9/94,R,,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96,7.1,39003,#3
The Flintstones,130531208,358500000,45000000,5/27/94,PG,,Universal,Based on TV,Comedy,Historical Fiction,Brian Levant,20,4.6,26521,#2
Speed,121248145,283200000,30000000,6/10/94,R,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,90,2.6,4175,#3
The Lion King,328539505,783839505,79300000,6/15/94,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,92,8.2,136503,#1
Forrest Gump,329694499,679400525,55000000,7/6/94,PG-13,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Robert Zemeckis,70,8.6,300455,#4
True Lies,146282411,365300000,100000000,7/15/94,R,,20th Century Fox,Remake,Action,Contemporary Fiction,James Cameron,69,7.2,80581,#4
The Mask,119920129,343900000,18000000,7/29/94,PG-13,,New Line,Based on Comic/Graphic Novel,Comedy,Fantasy,Chuck Russell,75,6.6,72981,#3
Clear and Present Danger,122012656,207500000,62000000,8/3/94,PG-13,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612,#3
Pulp Fiction,107928762,212928762,8000000,10/14/94,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94,8.9,417703,#3
Stargate,71565669,196565669,55000000,10/28/94,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,46,6.7,47174,#3
Interview with the Vampire: The Vampire Chronicles,105264608,223564608,50000000,11/11/94,R,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Neil Jordan,,7.4,78953,#3
The Santa Clause,144833357,189800000,22000000,11/11/94,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79,6.1,17773,#5
Dumb & Dumber,127175374,246400000,16000000,12/16/94,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,,7.2,88093,#3
Die Hard: With a Vengeance,100012499,364480746,90000000,5/19/95,R,,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,,7.4,87437,#3
Braveheart,75545647,209000000,72000000,5/24/95,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77,8.4,240642,#3
Casper,100328194,282300000,55000000,5/26/95,PG,,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41,5.7,26121,#2
The Bridges of Madison County,71516617,175516617,22000000,6/2/95,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923,#3
Pocahontas,141579773,347100000,55000000,6/10/95,G,,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,,55,6,26690,#3
Batman Forever,184031112,336529144,100000000,6/16/95,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218,#4
Apollo 13,172070496,334100000,65000000,6/30/95,PG,,Universal,Based on Book/Short Story,Drama,Dramatization,Ron Howard,,7.5,87605,#3
Waterworld,88246220,264246220,175000000,7/28/95,PG-13,,Universal,Original Screenplay,Action,Science Fiction,Kevin Reynolds,42,5.7,54126,#4
Babe,63658910,246100000,30000000,8/4/95,G,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644,#3
Se7en,100125643,328125643,30000000,9/22/95,R,,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,,8.7,278918,#3
Ace Ventura: When Nature Calls,108360063,212400000,30000000,11/10/95,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,,5.6,51275,#3
Goldeneye,106429941,356429941,60000000,11/17/95,PG-13,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,80,7.2,69199,#3
Toy Story,191796233,361948825,30000000,11/22/95,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,John Lasseter,100,8.2,151143,#2
Jumanji,100458310,262758310,65000000,12/15/95,PG,,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,48,6.4,54973,#2
Twelve Monkeys,57141459,168841459,29000000,12/27/95,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,,8.1,169858,#3
Twister,241888385,495900000,88000000,5/10/96,PG-13,117,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Jan De Bont,57,6,61665,#4
Mission: Impossible,180981886,456481886,80000000,5/21/96,PG-13,110,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Brian De Palma,,6.9,86222,#3
The Rock,134069511,336069511,75000000,6/7/96,R,136,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66,7.2,108324,#3
The Hunchback of Notre Dame,100138851,325500000,100000000,6/21/96,G,86,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Gary Trousdale,73,6.5,19479,#2
Eraser,101295562,234400000,100000000,6/21/96,R,115,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Chuck Russell,34,5.9,37287,#3
The Nutty Professor,128814019,273814019,55000000,6/28/96,PG-13,95,Universal,Remake,Comedy,Kids Fiction,Tom Shadyac,67,5.6,32234,#2
Independence Day,306169255,817400878,75000000,7/2/96,PG-13,145,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61,6.5,149493,#1
The First Wives Club,105489203,181489203,30000000,9/20/96,PG,90,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Hugh Wilson,41,5.6,14682,#3
Sleepers,53300852,165600852,44000000,10/18/96,R,105,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73,7.3,51874,#3
Ransom,136492681,308700000,70000000,11/8/96,R,121,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70,6.6,38524,#3
Space Jam,90463534,250200000,80000000,11/15/96,PG,87,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Joe Pytka,36,5.6,29293,#5
The English Patient,78716374,231716374,35000000,11/15/96,R,160,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83,7.3,54484,#3
Jerry Maguire,153952592,274000000,50000000,12/13/96,R,138,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Cameron Crowe,84,7.2,78603,#3
Scream,103046663,173046663,15000000,12/20/96,R,110,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,81,2.9,217,#5
Dante's Peak,67163857,178200000,115000000,2/7/97,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472,#3
Liar Liar,181410615,302710615,45000000,3/21/97,PG-13,87,Universal,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,82,6.7,67798,#3
The Saint,61363304,169400000,90000000,4/4/97,PG-13,116,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Phillip Noyce,30,5.9,27413,#3
The Fifth Element,63570862,263900000,95000000,5/9/97,PG-13,105,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72,7.4,131252,#3
The Lost World: Jurassic Park,229086679,786686679,75000000,5/22/97,PG-13,134,Universal,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,,6,77124,#4
Con Air,101117573,224117573,80000000,6/6/97,R,115,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Simon West,57,6.6,76052,#3
Hercules,99112101,250700000,70000000,6/15/97,G,92,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,84,6.8,21902,#5
My Best Friend's Wedding,126813153,287200000,46000000,6/20/97,PG-13,105,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,P.J. Hogan,72,6.2,37287,#3
Batman & Robin,107325195,238317814,125000000,6/20/97,PG-13,130,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,11,3.5,81283,#4
Face/Off,112276146,241200000,80000000,6/27/97,R,138,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93,7.3,102001,#3
Men in Black,250690539,587790539,90000000,7/1/97,PG-13,98,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,Barry Sonnenfeld,91,7,119704,#4
Contact,100920329,165900000,90000000,7/11/97,PG,150,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Robert Zemeckis,67,7.3,73684,#3
George Of The Jungle,105263257,174463257,55000000,7/16/97,PG,91,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,,54,5.3,19685,#5
Air Force One,172956409,315268353,85000000,7/25/97,R,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Wolfgang Petersen,78,6.3,61394,#3
The Full Monty,45950122,257938649,3500000,8/13/97,R,90,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,95,7.2,40877,#3
Flubber,92993801,177993801,80000000,11/26/97,PG,93,Walt Disney Pictures,Remake,Comedy,Kids Fiction,Les Mayfield,17,4.6,18890,#5
Titanic,600788188,1842879955,200000000,12/19/97,PG-13,194,Paramount Pictures,Original Screenplay,Thriller/Suspense,Historical Fiction,James Cameron,82,7.4,240732,#1
Tomorrow Never Dies,125304276,339504276,110000000,12/19/97,PG-13,119,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Roger Spottiswoode,55,6.4,46650,#3
As Good as it Gets,148478011,314111923,50000000,12/24/97,PG-13,138,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,James L. Brooks,85,7.8,92240,#3
City of Angels,78750909,198750909,55000000,4/10/98,PG-13,117,Warner Bros.,Remake,Drama,Fantasy,Brad Silberling,59,6.4,40053,#3
Deep Impact,140464664,349464664,80000000,5/8/98,PG-13,120,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Mimi Leder,47,6,54160,#2
Godzilla,136314294,376000000,125000000,5/19/98,PG-13,139,Sony Pictures,Remake,Action,Science Fiction,Roland Emmerich,25,4.8,59455,#4
The Truman Show,125618201,248400000,60000000,6/5/98,PG,102,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,95,8,156346,#3
"Six Days, Seven Nights",74339294,164800000,80000000,6/12/98,PG-13,101,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ivan Reitman,37,4.7,48,#5
Mulan,120620254,303500000,90000000,6/19/98,G,88,Walt Disney Pictures,Traditional/Legend/Fairytale,Adventure,Dramatization,,86,7.2,34256,#2
The X Files: Fight the Future,83898313,189176423,66000000,6/19/98,PG-13,120,20th Century Fox,Based on TV,Action,Science Fiction,,,,,#5
Doctor Dolittle,144156605,294156605,71500000,6/26/98,PG-13,85,20th Century Fox,Remake,Comedy,Kids Fiction,Betty Thomas,,5.2,25648,#2
Armageddon,201578182,554600000,140000000,7/1/98,PG-13,150,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,Michael Bay,42,6.1,194,#4
Lethal Weapon 4,130444603,285400000,140000000,7/10/98,R,127,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,54,6.4,47846,#3
There's Something About Mary,176484651,360099999,22000000,7/15/98,R,119,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,83,7.2,96443,#3
The Mask of Zorro,93828745,233700000,65000000,7/17/98,PG-13,136,Sony Pictures,Remake,Adventure,Historical Fiction,Martin Campbell,82,6.7,4789,#5
Saving Private Ryan,216335085,481635085,65000000,7/24/98,R,169,Dreamworks SKG,Original Screenplay,Drama,Historical Fiction,Steven Spielberg,91,8.5,270540,#3
Rush Hour,141186864,245300000,35000000,9/18/98,PG-13,98,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,60,6.8,55248,#3
The Waterboy,161491646,190191646,23000000,11/6/98,PG-13,86,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Frank Coraci,32,5.7,43251,#5
A Bug's Life,162798565,363109485,45000000,11/20/98,G,96,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,John Lasseter,91,7.3,56866,#2
Enemy of the State,111549836,250649836,85000000,11/20/98,R,127,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70,7.2,66700,#3
Shakespeare in Love,100317794,279500000,26000000,12/11/98,R,122,Miramax,Original Screenplay,Romantic Comedy,Historical Fiction,John Madden,93,7.4,77911,#3
You've Got Mail,115821495,250800000,65000000,12/18/98,PG,119,Warner Bros.,Based on Play,Drama,Contemporary Fiction,Nora Ephron,68,6.2,52587,#3
The Prince of Egypt,101413188,218600000,60000000,12/18/98,PG,97,Dreamworks SKG,Based on Book/Short Story,Adventure,Dramatization,Steve Hickner,79,6.8,24569,#3
Patch Adams,135041968,202200000,50000000,12/25/98,PG-13,110,Universal,Based on Real Life Events,Comedy,Contemporary Fiction,Tom Shadyac,24,6.3,31481,#3
Analyze This,106885658,176885658,30000000,3/5/99,R,103,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,68,6.6,52894,#3
The Matrix,171479930,460279930,65000000,3/31/99,R,136,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,86,8.7,380934,#4
Entrapment,87707396,211700000,66000000,4/30/99,PG-13,112,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38,6.1,40764,#3
The Mummy,155385488,416385488,80000000,5/7/99,PG-13,124,Universal,Remake,Adventure,Fantasy,Stephen Sommers,54,6.8,95658,#4
Star Wars Ep. I: The Phantom Menace,431088297,924288297,115000000,5/19/99,PG,133,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,,#1
Notting Hill,116089678,363728226,42000000,5/28/99,PG-13,123,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,82,6.9,66362,#5
Austin Powers: The Spy Who Shagged Me,206040085,309600000,35000000,6/10/99,PG-13,95,New Line,Original Screenplay,Comedy,Historical Fiction,Jay Roach,,6.6,81005,#2
Tarzan,171091819,448191819,145000000,6/16/99,G,88,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Kevin Lima,88,6.9,26871,#1
Big Daddy,163479795,234779795,30000000,6/25/99,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,40,4.7,48,#5
Wild Wild West,113805681,222105681,175000000,6/30/99,PG-13,107,Warner Bros.,Based on TV,Adventure,Historical Fiction,Barry Sonnenfeld,21,4.3,54183,#4
American Pie,101800948,234800000,12000000,7/9/99,R,95,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,59,6.9,106624,#3
The Blair Witch Project,140539099,248300000,600000,7/14/99,R,87,Artisan,Original Screenplay,Horror,Contemporary Fiction,,85,6.2,87629,#3
The Haunting,91188905,180188905,80000000,7/23/99,PG-13,114,Dreamworks SKG,Based on Book/Short Story,Horror,Contemporary Fiction,Jan De Bont,17,4.6,31808,#3
Deep Blue Sea,73648228,165048228,60000000,7/28/99,R,105,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,57,5.6,44191,#5
Runaway Bride,152257509,308007919,70000000,7/30/99,PG,116,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,45,5.2,28497,#5
The Sixth Sense,293506292,672806292,40000000,8/6/99,PG-13,107,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85,8.2,238745,#2
American Beauty,130058047,356258047,15000000,9/15/99,R,118,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Sam Mendes,89,8.6,292562,#3
